Country,Continent,Gender,Asterisk,WorldRecord,Athlete,Year,cleantime,speed
Montenegro,Europe,M,,,Luka Rakic,2015,10.55,9.478672986
Montenegro,Europe,F,,,Milena Milasevic,2007,12.24,8.169934641
Montserrat,North America,M,,,Julius Morris,2015,10.23,9.775171065
Montserrat,North America,F,,,Tenecia Pollard,2005,13.17,7.593014427
Morocco,Africa,M,,,Aziz Ouhadi,2011,10.09,9.910802775
Morocco,Africa,F,,,Meryem Oumezdi,1989,11.55,8.658008658
Myanmar,Asia,M,,,Soe Win,1969,10.5,9.523809524
Myanmar,Asia,F,,,Than Than Htay,1997,11.66,8.576329331
Namibia,Africa,M,,,Frankie Fredericks,1996,9.86,10.14198783
Namibia,Africa,F,,,Globine Mayova,2013,11.38,8.787346221
Nauru,Oceania,M,Y,,Frederick Canon,1994,10.9,9.174311927
Nauru,Oceania,F,,,Lovelite Detenamo,2013,12.28,8.143322476
Nepal,Asia,M,,,Ram Krishna Chaudhari,1999,10.71,9.337068161
Nepal,Asia,F,,,Devi Maya Paneru,1999,12.19,8.203445447
Netherlands,Europe,M,,,Churandy Martina,2012,9.91,10.09081736
Netherlands,Europe,F,,,Dafne Schippers,2015,10.81,9.250693802
New Zealand,Oceania,M,,,Augustine Nketia,1994,10.11,9.891196835
New Zealand,Oceania,F,,,Michelle Seymour,1993,11.32,8.833922261
Niger,Africa,M,,,Yacouba Bello,2005,10.52,9.505703422
Niger,Africa,F,,,Yahanatou Ibrahim,2003,12.86,7.776049767
Nigeria,Africa,M,,,Olusoji Fasuba,2006,9.85,10.15228426
Nigeria,Africa,F,,,Blessing Okagbare,2013,10.79,9.267840593
Norfolk Island,Oceania,M,,,Jonathan McKee,1986,11.38,8.787346221
Norfolk Island,Oceania,F,,,Zinta Flitten,1995,12.94,7.72797527
Northern Mariana Islands,Oceania,M,,,Tyrone Omar,2007,10.81,9.250693802
Northern Mariana Islands,Oceania,F,,,Yvonne Bennett,2011,12.37,8.084074373
Norway,Europe,M,,,Jaysuma Saidy Ndure,2014,9.95,10.05025126
Norway,Europe,F,,,Ezinne Okparaebo,2012,11.1,9.009009009
Oman,Asia,M,,,Barakat Al-Harthi,2016,10.05,9.950248756
Oman,Asia,F,,,Shinoona Salah Al-Habsi,2013,12.19,8.203445447
Pakistan,Asia,M,,,Afzal Baig,2005,10.42,9.596928983
Pakistan,Asia,F,,,Sadaf Siddiqui,2008,11.81,8.467400508
Palau,Oceania,M,,,Rodman Teltull,2016,10.52,9.505703422
Palau,Oceania,F,,,Peoria Koshiba,2000,12.6,7.936507937
Palestine,Asia,M,,,Mohammed Abukhousa,2014,10.55,9.478672986
Palestine,Asia,F,,,Gharid Ghrouf,2008,13.07,7.651109411
Panama,North America,M,,,Alonso Edward,2014,10.02,9.98003992
Panama,North America,F,,,Yasmin Woodruff,2016,11.45,8.733624454
Papua New Guinea,Oceania,M,,,Peter Pulu,1995,10.4,9.615384615
Papua New Guinea,Oceania,F,,,Toea Wisil,2016,11.29,8.857395926
Paraguay,South America,M,,,Fredy Maidana,2014,10.44,9.578544061
Paraguay,South America,F,,,Maria Belen Pavon,2008,12.42,8.051529791
Peru,South America,M,,,Andy Martinez,2016,10.28,9.727626459
Peru,South America,F,,,Carmela Bolivar,1978,11.78,8.488964346
Philippines,Asia,M,,,Eric Cray,2015,10.25,9.756097561
Philippines,Asia,F,,,Lydia de Vega,1987,11.28,8.865248227
Poland,Europe,M,,,Marian Woronin,1984,10,10
Poland,Europe,F,,,Ewa Kasprzyk,1986,10.93,9.149130833
Portugal,Europe,M,,,Francis Obikwelu,2004,9.86,10.14198783
Portugal,Europe,F,,,Lorene Bazolo,2016,11.21,8.920606601
Puerto Rico,North America,M,,,Miguel Lopez,2012,10.21,9.794319295
Puerto Rico,North America,F,,,Carol Ann Rodrí_guez,2009,11.28,8.865248227
Qatar,Asia,M,,,Femi Ogunode,2015,9.91,10.09081736
Qatar,Asia,F,,,Jyothi Janardhanan,2009,12.69,7.880220646
Republic of Macedonia,Europe,M,,,Riste Pandev,2013,10.61,9.425070688
Republic of Macedonia,Europe,F,,,Aleksandra Vojneska,2004,11.74,8.517887564
Romania,Europe,M,,,Daniel Cojocaru,1994,10.21,9.794319295
Romania,Europe,F,,,Ionela Tarlea,1999,11.3,8.849557522
Russia,Asia,M,Y,,Nikolay Yushmanov,1986,10.1,9.900990099
Russia,Asia,F,,,Irina Privalova,1994,10.77,9.285051068
Saint Kitts and Nevis,North America,M,,,Kim Collins,2016,9.93,10.07049345
Saint Kitts and Nevis,North America,F,,,Tameka Williams,2012,11.18,8.944543828
Saint Lucia,North America,M,,,Jahvid Best,2016,10.16,9.842519685
Saint Lucia,North America,F,,,Jineill Z. Vite,2004,11.44,8.741258741
Saint Vincent and the Grenadines,North America,M,,,Joel Mascoll,1998,10.19,9.813542689
Saint Vincent and the Grenadines,North America,F,,,Natasha Joe-Mayers,2002,11.09,9.017132552
